ATSAM4S8B	25.17	24.10	45.00	MCU_ATSAM4S8B	QFP50P1200X1200X160-64N
C1	11.90	33.77	45.00	0.1uF	0805
C10	16.39	19.23	45.00	4.7uF	0805
C11	18.07	31.76	135.00	0.1uF	0805
C12	17.07	28.95	135.00	18pF	0805
C13	14.86	32.07	135.00	0.1uF	0805
C14	17.07	35.33	315.00	0.1uF	0805
C15	30.48	32.07	45.00	0.1uF	0805
C16	29.93	9.29	315.00	18pF	0805
C2	33.77	7.91	45.00	1uF	0805
C3	31.72	11.23	135.00	1uF	0805
C4	12.53	30.23	315.00	1uF	0805
C5	9.66	38.77	45.00	0.1uF	0805
C6	4.77	15.15	45.00	0.1uF	0805
C7	7.77	33.96	315.00	0.1uF	0805
C8	30.23	15.77	135.00	0.1uF	0805
C9	24.77	13.58	0.00	0.1uF	0805
I1	14.90	26.93	315.00	10uH	0805
LED1	24.74	34.05	270.00	BLUE	LED-0603
LED2	32.26	35.76	135.00	YELLOW	LED-0603
LED3	35.74	30.86	315.00	GREEN	LED-0603
LED4	43.74	23.67	270.00	RED	LED-0603
R1	14.93	14.91	135.00	10k	0805
R2	7.93	29.72	135.00	330R	0805
R3	35.93	35.53	225.00	330R	0805
R4	35.34	18.07	135.00	330R	0805
R5	39.07	17.85	45.00	330R	0805
R6	19.04	15.93	45.00	1R0	0805
R7	11.07	36.23	225.00	1R0	0805
R8	32.07	30.42	45.00	1k	0805
R9	34.39	13.07	135.00	1k	0805
